Current_Role,Zip_Code,Employee_ID,Employee_Annual_Salary,Monthly_Medical_contribution,Monthly_Dental_Contribution,Monthly_Vision_Contribution,Bonus,Years_Of_Service,Department,Gender,Employee_HR_rate,Hours_per_week,Years_Since_Last_Promotion,age,left
Senior Software Engineer,94103,57,130800,130,35,19,13865,5.2,Engineering,Male,60,40,2.811772758384668,34,0
Content Strategist,60605,63,97700,105,30,17,7767,5.9,Marketing,Female,73,40,1.8836413415468856,33,0
Content Writer,10005,65,89600,105,30,17,5914,3.2,Marketing,Female,93,40,2.272416153319644,34,0
Customer Success Manager,10002,66,129450,130,35,19,16893,2.1,Customer Support,Male,80,40,1.5195071868583163,29,0
Data Analyst,94104,68,84500,105,30,17,5831,3.8,Data Science,Female,81,40,2.9787816563997263,31,0
Data Analyst,94104,69,80750,105,30,17,4966,2.3,Data Science,Male,101,40,1.839835728952772,31,0
Data Analyst,94102,70,83000,105,30,17,5478,3.2,Data Science,Male,129,40,1.9876796714579053,34,0
DevOps Engineer,94112,74,92600,105,30,17,6575,4.2,Engineering,Male,78,40,1.7467488021902806,28,0
Financial Analyst,60605,80,80750,105,30,17,4966,2.3,Finance,Female,63,40,2.3928815879534566,29,0
Financial Analyst,60601,81,84750,105,30,17,5890,3.9,Finance,Male,109,40,2.6365503080082138,31,0
HR Business Partner,2107,85,92300,105,30,17,6507,4.1,Human Resources,Female,65,40,2.6858316221765914,33,0
Junior Data Scientist,94110,94,64500,105,30,17,3806,1.8,Data Science,Male,66,40,1.322381930184805,31,0
Marketing Manager,10003,109,136650,130,35,19,18926,3.7,Marketing,Female,61,40,2.127310061601643,28,0
Marketing Specialist,60601,110,92500,105,30,17,5781,2.5,Marketing,Male,89,40,1.587953456536619,28,0
Operations Analyst,98101,112,85750,105,30,17,6131,4.3,Operations,Male,99,40,2.518822724161533,31,0
Operations Coordinator,98101,114,66800,105,30,17,4476,3.4,Operations,Male,119,40,1.7193702943189595,33,0
Product Manager,10004,123,135750,130,35,19,18666,3.5,Product,Male,72,40,2.587268993839836,31,0
Sales Representative,90008,127,97100,105,30,17,7622,5.7,Sales,Male,96,40,3.381245722108145,30,0
Software Engineer,94109,146,90500,105,30,17,6109,3.5,Engineering,Male,85,40,2.0725530458590007,25,0
Technical Writer,94104,151,88400,105,30,17,5658,2.8,Engineering,Male,111,40,1.9000684462696784,32,0
UX Designer,78723,153,95900,105,30,17,7336,5.3,Design,Female,86,40,2.726899383983573,28,0
UX Researcher,78712,154,88100,105,30,17,5594,2.7,Design,Male,74,40,2.160164271047228,31,0
