Current_Role,Zip_Code,Employee_ID,Employee_Annual_Salary,Monthly_Medical_contribution,Monthly_Dental_Contribution,Monthly_Vision_Contribution,Bonus,Years_Of_Service,Department,Gender,Employee_HR_rate,Hours_per_week,Years_Since_Last_Promotion,age,left
Senior Software Engineer,94103,57,130800,130,35,19,13865,5.2,Engineering,Male,60,40,2.8145106091718,34,0
Content Strategist,60605,63,97700,105,30,17,7767,5.9,Marketing,Female,73,40,1.8863791923340176,33,0
Director of Operations,98106,77,211000,180,45,23,46948,8.5,Operations,Male,64,40,5.240246406570842,36,1
Engineering Manager,94104,79,155100,155,40,21,24661,7.8,Engineering,Female,71,40,3.822039698836413,34,0
HR Manager,2107,91,141600,130,35,19,20390,4.8,Human Resources,Female,155,40,2.674880219028063,34,0
Lead Data Engineer,94108,100,146600,130,35,19,17519,7.9,Data Science,Male,144,40,4.2354551676933605,34,0
Lead Product Manager,10010,103,153750,155,40,21,18066,7.5,Product,Female,108,40,4.27378507871321,34,0
Lead Software Developer,94108,104,145400,130,35,19,17157,7.6,Engineering,Male,154,40,3.879534565366188,36,0
Lead UX Designer,78704,106,141000,130,35,19,15863,6.5,Design,Non-Binary,92,40,4.227241615331964,36,0
Principal Product Manager,10010,118,183000,155,40,21,29829,8.6,Product,Female,118,40,4.506502395619439,37,0
Product Designer,78704,120,97700,105,30,17,7767,5.9,Design,Non-Binary,102,40,3.373032169746749,35,0
Product Marketing Manager,10005,124,145200,130,35,19,21490,5.6,Marketing,Female,83,40,2.6557152635181382,35,0
Senior Account Executive,90008,128,135200,130,35,19,15075,6.3,Sales,Male,116,40,3.6112251882272415,33,0
Senior Account Executive,90008,129,136000,130,35,19,15300,6.5,Sales,Male,156,40,3.805612594113621,37,0
Senior Account Manager,90008,131,135200,130,35,19,15075,6.3,Sales,Male,136,40,3.890485968514716,34,0
Senior Financial Analyst,60607,135,134800,130,35,19,14963,6.2,Finance,Female,75,40,4.057494866529774,36,0
Senior Financial Analyst,60602,136,146400,130,35,19,18373,9.1,Finance,Female,90,40,5.160848733744011,36,1
Senior HR Manager,2104,137,139600,130,35,19,16333,7.4,Human Resources,Male,82,40,4.27378507871321,36,0
Senior Sales Executive,90008,142,134800,130,35,19,14963,6.2,Sales,Male,146,40,4.079397672826831,35,0
