Current_Role,Zip_Code,Employee_ID,Employee_Annual_Salary,Monthly_Medical_contribution,Monthly_Dental_Contribution,Monthly_Vision_Contribution,Bonus,Years_Of_Service,Department,Gender,Employee_HR_rate,Hours_per_week,Years_Since_Last_Promotion,age,left
HR Manager,2107,90,141600,130,35,19,20390,4.8,Human Resources,Female,115,40,3.233401779603012,30,0
HR Manager,2107,91,141600,130,35,19,20390,4.8,Human Resources,Female,155,40,2.6721423682409307,34,0
Lead Data Engineer,94108,100,146600,130,35,19,17519,7.9,Data Science,Male,144,40,4.232717316906228,34,0
Lead Data Scientist,94112,101,146200,130,35,19,17398,7.8,Data Science,Female,98,40,3.704312114989733,33,0
Lead DevOps Engineer,98106,102,146600,130,35,19,17519,7.9,Engineering,Male,114,40,3.9589322381930185,31,0
Lead Software Developer,94108,104,145400,130,35,19,17157,7.6,Engineering,Male,154,40,3.876796714579056,36,0
Lead Software Engineer,98106,105,144200,130,35,19,16799,7.3,Engineering,Male,124,40,3.813826146475017,32,0
Lead UX Designer,78704,106,141000,130,35,19,15863,6.5,Design,Non-Binary,92,40,4.224503764544832,36,0
Lead UX Designer,78712,107,145800,130,35,19,17277,7.7,Design,Male,134,40,4.172484599589322,33,0
Product Designer,78704,120,97700,105,30,17,7767,5.9,Design,Non-Binary,102,40,3.370294318959617,35,0
Product Lead,10010,122,147400,130,35,19,17762,8.1,Product,Female,158,40,5.08145106091718,31,1
Product Marketing Manager,10005,124,145200,130,35,19,21490,5.6,Marketing,Female,83,40,2.652977412731006,35,0
Project Manager,98103,125,141150,130,35,19,20255,4.7,Product,Male,91,40,2.7926078028747434,33,0
Senior Account Executive,90008,128,135200,130,35,19,15075,6.3,Sales,Male,116,40,3.608487337440109,33,0
Senior Account Executive,90008,129,136000,130,35,19,15300,6.5,Sales,Male,156,40,3.802874743326489,37,0
Senior Account Manager,90011,130,136000,130,35,19,15300,6.5,Sales,Male,68,40,5.6098562628336754,30,1
Senior Account Manager,90008,131,135200,130,35,19,15075,6.3,Sales,Male,136,40,3.887748117727584,34,0
Senior Business Analyst,60604,132,131600,130,35,19,14081,5.4,Finance,Non-Binary,112,40,2.546201232032854,27,0
Senior Content Writer,10004,133,130400,130,35,19,13757,5.1,Marketing,Non-Binary,132,40,2.7926078028747434,29,0
Senior DevOps Engineer,94108,134,143600,130,35,19,17519,8.4,Engineering,Male,94,40,4.566735112936345,31,0
Senior Financial Analyst,60607,135,134800,130,35,19,14963,6.2,Finance,Female,75,40,4.054757015742642,36,0
Senior Financial Analyst,60602,136,146400,130,35,19,18373,9.1,Finance,Female,90,40,5.158110882956879,36,1
Senior HR Manager,2104,137,139600,130,35,19,16333,7.4,Human Resources,Male,82,40,4.271047227926078,36,0
Senior Marketing Manager,10004,138,133200,130,35,19,14519,5.8,Marketing,Non-Binary,122,40,2.9979466119096507,28,0
Senior Marketing Specialist,10004,139,131600,130,35,19,14081,5.4,Marketing,Non-Binary,152,40,2.4969199178644765,32,0
Senior Product Manager,10010,140,138800,130,35,19,16101,7.2,Product,Female,88,40,3.887748117727584,32,0
Senior Project Manager,98102,141,147200,130,35,19,18621,9.3,Product,Female,130,40,5.308692676249144,32,1
Senior Sales Executive,90008,142,134800,130,35,19,14963,6.2,Sales,Male,146,40,4.076659822039699,35,0
Senior Sales Manager,90008,143,137200,130,35,19,15641,6.8,Sales,Male,106,40,4.117727583846681,32,0
Senior Sales Representative,90008,144,136800,130,35,19,15527,6.7,Sales,Male,126,40,4.2217659137577,33,0
Senior UX Designer,78704,145,132800,130,35,19,14409,5.7,Design,Non-Binary,142,40,3.159479808350445,31,0
Staff Engineer,94108,147,115250,130,35,19,10430,8.1,Engineering,Male,104,40,4.717316906228611,32,0
Technical Lead,94112,150,149000,130,35,19,18253,8.5,Engineering,Female,148,40,4.65160848733744,30,0
