Feature,Weight
Employee_Annual_Salary,0.09390018932584974
Monthly_Medical_contribution,0.02190786738462379
Monthly_Dental_Contribution,0.021907867384623785
Monthly_Vision_Contribution,0.0219078673846238
Bonus,0.08469375252801144
Years_Of_Service,0.5528284252933936
Employee_HR_rate,-0.4005948352299368
Hours_per_week,0.0
Years_Since_Last_Promotion,1.33411941305918
age,-0.31197580252142676
Current_Role_HR Manager,-0.02113987622793071
Current_Role_Lead Data Engineer,-0.06718197824886156
Current_Role_Lead Data Scientist,0.0
Current_Role_Lead DevOps Engineer,-0.034475805893365054
Current_Role_Lead Software Developer,-0.010136210709644681
Current_Role_Lead Software Engineer,-0.025327824203397374
Current_Role_Lead UX Designer,-0.13806344151873068
Current_Role_Product Designer,-0.004184835967807835
Current_Role_Product Lead,0.3562907364757731
Current_Role_Product Marketing Manager,-0.007840431132397003
Current_Role_Project Manager,-0.004675853043663202
Current_Role_Senior Account Executive,-0.021451646205909503
Current_Role_Senior Account Manager,0.3508990886920473
Current_Role_Senior Business Analyst,-0.008186763097398232
Current_Role_Senior Content Writer,-0.0036562703722824823
Current_Role_Senior DevOps Engineer,0.0
Current_Role_Senior Financial Analyst,0.2180897768441679
Current_Role_Senior HR Manager,-0.10778079683305718
Current_Role_Senior Marketing Manager,-0.019908162589002645
Current_Role_Senior Marketing Specialist,-0.0019172404946952069
Current_Role_Senior Product Manager,-0.09222071529527472
Current_Role_Senior Project Manager,0.0
Current_Role_Senior Sales Executive,0.0
Current_Role_Senior Sales Manager,-0.10223289189448351
Current_Role_Senior Sales Representative,-0.06997445238603232
Current_Role_Senior UX Designer,-0.00906241286611026
Current_Role_Staff Engineer,0.0
Current_Role_Technical Lead,-0.17512839127182883
Department_Data Science,-0.06718197824886156
Department_Design,-0.15131069035264874
Department_Engineering,-0.245068232078236
Department_Finance,0.20990301374676967
Department_Human Resources,-0.12892067306098792
Department_Marketing,-0.033322104588377324
Department_Product,0.25939416813683513
Department_Sales,0.157240098205622
Gender_Female,0.27805109939250966
Gender_Male,-0.1675383115955214
Gender_Non-Binary,-0.10977918603687299
