Current_Role,Zip_Code,Employee_ID,Employee_Annual_Salary,Monthly_Medical_contribution,Monthly_Dental_Contribution,Monthly_Vision_Contribution,Bonus,Years_Of_Service,Department,Gender,Employee_HR_rate,Hours_per_week,Years_Since_Last_Promotion,age,left
Senior Software Engineer,94103,57,130800,130,35,19,13865,5.2,Engineering,Male,60,40,2.8145106091718,34,0
Content Strategist,60605,63,97700,105,30,17,7767,5.9,Marketing,Female,73,40,1.8863791923340176,33,0
Content Writer,10005,65,89600,105,30,17,5914,3.2,Marketing,Female,93,40,2.2751540041067764,34,0
Customer Success Manager,10002,66,129450,130,35,19,16893,2.1,Customer Support,Male,80,40,1.5222450376454484,29,0
Data Analyst,94104,68,84500,105,30,17,5831,3.8,Data Science,Female,81,40,2.9815195071868583,31,0
Data Analyst,94104,69,80750,105,30,17,4966,2.3,Data Science,Male,101,40,1.842573579739904,31,0
Data Analyst,94102,70,83000,105,30,17,5478,3.2,Data Science,Male,129,40,1.990417522245037,34,0
DevOps Engineer,94112,74,92600,105,30,17,6575,4.2,Engineering,Male,78,40,1.749486652977413,28,0
Financial Analyst,60605,80,80750,105,30,17,4966,2.3,Finance,Female,63,40,2.3956194387405887,29,0
Financial Analyst,60601,81,84750,105,30,17,5890,3.9,Finance,Male,109,40,2.639288158795346,31,0
HR Business Partner,2107,85,92300,105,30,17,6507,4.1,Human Resources,Female,65,40,2.6885694729637235,33,0
Junior Data Scientist,94110,94,64500,105,30,17,3806,1.8,Data Science,Male,66,40,1.325119780971937,31,0
Marketing Manager,10003,109,136650,130,35,19,18926,3.7,Marketing,Female,61,40,2.130047912388775,28,0
Marketing Specialist,60601,110,92500,105,30,17,5781,2.5,Marketing,Male,89,40,1.5906913073237507,28,0
Operations Analyst,98101,112,85750,105,30,17,6131,4.3,Operations,Male,99,40,2.521560574948665,31,0
Operations Coordinator,98101,114,66800,105,30,17,4476,3.4,Operations,Male,119,40,1.7221081451060918,33,0
Product Manager,10004,123,135750,130,35,19,18666,3.5,Product,Male,72,40,2.590006844626968,31,0
Sales Representative,90008,127,97100,105,30,17,7622,5.7,Sales,Male,96,40,3.383983572895277,30,0
Software Engineer,94109,146,90500,105,30,17,6109,3.5,Engineering,Male,85,40,2.0752908966461328,25,0
Technical Writer,94104,151,88400,105,30,17,5658,2.8,Engineering,Male,111,40,1.9028062970568105,32,0
UX Designer,78723,153,95900,105,30,17,7336,5.3,Design,Female,86,40,2.729637234770705,28,0
UX Researcher,78712,154,88100,105,30,17,5594,2.7,Design,Male,74,40,2.16290212183436,31,0
