Feature,Weight
HR Manager,-0.0228181912257653
Lead Data Engineer,-0.0675301309935118
Lead Data Scientist,0.0
Lead DevOps Engineer,-0.0368235339409768
Lead Software Developer,-0.0106479218116344
Lead Software Engineer,-0.0270168985085666
Lead UX Designer,-0.1393955271089447
Product Designer,-0.0045590377376697
Product Lead,0.3608691790699717
Product Marketing Manager,-0.0088036228907168
Project Manager,-0.0052438164412968
Senior Account Executive,-0.0229825539648966
Senior Account Manager,0.3530217988593619
Senior Business Analyst,-0.0097338453859173
Senior Content Writer,-0.0043696022973142
Senior DevOps Engineer,0.0
Senior Financial Analyst,0.2242881030644256
Senior HR Manager,-0.1077646208366555
Senior Marketing Manager,-0.0060438179228214
Senior Marketing Specialist,-0.0022838449749653
Senior Product Manager,-0.0987125894645784
Senior Project Manager,0.0
Senior Sales Executive,0.0
Senior Sales Manager,-0.1040330414657754
Senior Sales Representative,-0.0709197052285826
Senior UX Designer,-0.0099798573401495
Staff Engineer,0.0
Technical Lead,-0.1786163704934706
