Current_Role,Zip_Code,Employee_ID,Employee_Annual_Salary,Monthly_Medical_contribution,Monthly_Dental_Contribution,Monthly_Vision_Contribution,Bonus,Years_Of_Service,Department,Gender,Employee_HR_rate,Hours_per_week,Years_Since_Last_Promotion,age,left
Content Strategist,10005,64,89300,105,30,17,5849,3.1,Marketing,Female,113,40,2.1765913757700206,26,0
Customer Support Specialist,10003,67,93400,105,30,17,5978,2.8,Customer Support,Male,141,40,1.8151950718685832,27,0
Data Scientist,94102,71,91400,105,30,17,6307,3.8,Data Science,Male,139,40,2.42299794661191,26,0
Financial Analyst,60605,82,84750,105,30,17,5890,3.9,Finance,Female,123,40,2.368240930869268,27,0
Financial Analyst,60601,83,83000,105,30,17,5478,3.2,Finance,Male,149,40,2.1492128678986995,26,0
HR Coordinator,2107,88,65800,105,30,17,4244,2.9,Human Resources,Female,95,40,1.9849418206707732,26,0
Junior Data Analyst,94111,93,78000,105,30,17,4368,1.2,Data Science,Non-Binary,157,40,1.160848733744011,23,0
Junior Data Scientist,94111,95,64500,105,30,17,3806,1.8,Data Science,Non-Binary,87,40,1.3826146475017111,25,0
Junior Software Engineer,94111,97,63750,105,30,17,3666,1.5,Engineering,Non-Binary,97,40,1.2594113620807663,26,0
Marketing Specialist,10005,111,96100,105,30,17,6583,3.7,Marketing,Female,103,40,2.245037645448323,26,0
Operations Analyst,98101,113,84000,105,30,17,5712,3.6,Operations,Male,159,40,2.21492128678987,27,0
Senior Business Analyst,60604,132,131600,130,35,19,14081,5.4,Finance,Non-Binary,112,40,2.5489390828199863,27,0
Software Engineer,94109,146,90500,105,30,17,6109,3.5,Engineering,Male,85,40,2.0752908966461328,25,0
Systems Administrator,94104,148,87200,105,30,17,5406,2.4,IT,Male,131,40,1.5824777549623543,26,0
UX Researcher,78703,155,87800,105,30,17,5531,2.6,Design,Male,121,40,1.648186173853525,24,0
