Current_Role,Zip_Code,Employee_ID,Employee_Annual_Salary,Monthly_Medical_contribution,Monthly_Dental_Contribution,Monthly_Vision_Contribution,Bonus,Years_Of_Service,Department,Gender,Employee_HR_rate,Hours_per_week,Years_Since_Last_Promotion,age,left
Design Director,78701,72,215200,180,45,23,48635,9.2,Design,Female,69,40,3.0663928815879533,34,0
Design Director,78702,73,217600,180,45,23,49613,9.6,Design,Female,150,40,5.388090349075975,33,1
Design Director,78702,75,218200,180,45,23,49859,9.7,Design,Female,110,40,4.82135523613963,38,0
Director of HR,2108,76,220000,180,45,23,50600,11.5,Human Resources,Male,76,40,5.4811772758384665,33,1
Director of Operations,98106,77,211000,180,45,23,46948,8.5,Operations,Male,64,40,5.240246406570842,36,1
Director of Product,10010,78,213400,180,45,23,47908,8.9,Product,Female,138,40,4.988364134154689,38,0
Engineering Manager,94104,79,155100,155,40,21,24661,7.8,Engineering,Female,71,40,3.822039698836413,34,0
Lead Product Manager,10010,103,153750,155,40,21,18066,7.5,Product,Female,108,40,4.27378507871321,34,0
Principal Engineer,98106,115,189000,155,40,21,37611,9.8,Engineering,Male,84,40,1.8535249828884328,39,0
Principal Engineer,98102,116,190000,155,40,21,38000,10.1,Engineering,Female,140,40,5.69472963723477,34,1
Principal Product Designer,78704,117,179500,155,40,21,34015,7.9,Design,Male,62,40,3.575633127994524,33,0
Principal Product Manager,10010,118,183000,155,40,21,29829,8.6,Product,Female,118,40,4.506502395619439,37,0
Principal Software Engineer,98102,119,190000,155,40,21,38000,10.2,Engineering,Female,100,40,5.06776180698152,38,1
Product Director,10010,121,209200,180,45,23,46233,8.2,Product,Female,128,40,4.862422997946612,38,0
Sales Director,90010,126,209800,180,45,23,46471,8.3,Sales,Female,77,40,3.236139630390144,31,0
Technical Director,94103,149,220000,180,45,23,50600,10.5,Engineering,Female,120,40,5.5277207392197125,40,1
