Current_Role,Zip_Code,Employee_ID,Employee_Annual_Salary,Monthly_Medical_contribution,Monthly_Dental_Contribution,Monthly_Vision_Contribution,Bonus,Years_Of_Service,Department,Gender,Employee_HR_rate,Hours_per_week,Years_Since_Last_Promotion,age,left
Associate Data Scientist,94111,58,74250,105,30,17,4344,1.7,Data Science,Non-Binary,117,40,1.5770020533880904,29,0
Associate Product Manager,10009,59,125850,130,35,19,15920,1.3,Product,Non-Binary,147,40,1.2594113620807663,31,0
Business Analyst,60605,60,84750,105,30,17,5890,3.9,Finance,Female,153,40,2.3107460643394937,31,0
Content Strategist,10005,64,89300,105,30,17,5849,3.1,Marketing,Female,113,40,2.1765913757700206,26,0
Customer Support Specialist,10003,67,93400,105,30,17,5978,2.8,Customer Support,Male,141,40,1.8151950718685832,27,0
Data Scientist,94102,71,91400,105,30,17,6307,3.8,Data Science,Male,139,40,2.42299794661191,26,0
Financial Analyst,60605,82,84750,105,30,17,5890,3.9,Finance,Female,123,40,2.368240930869268,27,0
Financial Analyst,60601,83,83000,105,30,17,5478,3.2,Finance,Male,149,40,2.1492128678986995,26,0
Financial Planning Analyst,60605,84,84000,105,30,17,5712,3.6,Finance,Female,133,40,2.080766598220397,28,0
HR Business Partner,2107,86,93500,105,30,17,6779,4.5,Human Resources,Female,105,40,2.858316221765914,29,0
HR Business Partner,2107,87,93800,105,30,17,6847,4.6,Human Resources,Female,125,40,3.047227926078029,30,0
HR Coordinator,2107,88,65800,105,30,17,4244,2.9,Human Resources,Female,95,40,1.9849418206707732,26,0
HR Coordinator,2107,89,69000,105,30,17,5003,4.5,Human Resources,Female,145,40,2.7214236824093088,32,0
HR Specialist,2107,92,99700,105,30,17,7428,4.9,Human Resources,Female,135,40,3.29637234770705,31,0
Junior Data Analyst,94111,93,78000,105,30,17,4368,1.2,Data Science,Non-Binary,157,40,1.160848733744011,23,0
Junior Data Scientist,94111,95,64500,105,30,17,3806,1.8,Data Science,Non-Binary,87,40,1.3826146475017111,25,0
Junior Product Designer,78731,96,64750,105,30,17,3853,1.9,Design,Non-Binary,127,40,1.4236824093086926,30,0
Junior Software Engineer,94111,97,63750,105,30,17,3666,1.5,Engineering,Non-Binary,97,40,1.2594113620807663,26,0
Junior Software Engineer,94111,98,63750,105,30,17,3666,1.5,Engineering,Non-Binary,137,40,1.2758384668035592,30,0
Junior UX Designer,78731,99,63000,105,30,17,3528,1.2,Design,Non-Binary,107,40,1.3963039014373717,28,0
Marketing Coordinator,10005,108,66800,105,30,17,4476,3.4,Marketing,Female,143,40,1.8809034907597533,30,0
Marketing Specialist,10005,111,96100,105,30,17,6583,3.7,Marketing,Female,103,40,2.245037645448323,26,0
Operations Analyst,98101,113,84000,105,30,17,5712,3.6,Operations,Male,159,40,2.21492128678987,27,0
Systems Administrator,94104,148,87200,105,30,17,5406,2.4,IT,Male,131,40,1.5824777549623543,26,0
Technical Writer,98103,152,88100,105,30,17,5594,2.7,Engineering,Male,151,40,1.7166324435318274,28,0
UX Researcher,78703,155,87800,105,30,17,5531,2.6,Design,Male,121,40,1.648186173853525,24,0
