Feature,Weight
Employee_Annual_Salary,0.0
Monthly_Medical_contribution,0.0
Monthly_Dental_Contribution,0.0
Monthly_Vision_Contribution,0.0
Bonus,0.0
Years_Of_Service,0.32670162526907587
Employee_HR_rate,0.32670162526907587
Hours_per_week,0.0
Years_Since_Last_Promotion,0.32670162526907587
age,0.32670162526907587
Current_Role_Chief Operating Officer,0.16335081263453793
Current_Role_Chief Technology Officer,-0.16335081263453793
Current_Role_VP of Technology,0.0
Department_Executive,-5.022193500703701e-18
Gender_Female,0.16335081263453793
Gender_Male,-0.16335081263453793
